task,run_1,run_2,run_3,label
adaptive-rejection-sampler,1,0,0,sometimes
bn-fit-modify,1,0,0,sometimes
break-filter-js-from-html,0,0,0,never
build-cython-ext,0,0,0,never
build-pmars,0,0,0,never
build-pov-ray,0,0,0,never
caffe-cifar-10,0,0,0,never
cancel-async-tasks,0,0,1,sometimes
chess-best-move,0,0,0,never
circuit-fibsqrt,0,0,0,never
cobol-modernization,1,1,1,always
code-from-image,1,1,0,sometimes
compile-compcert,1,1,1,always
configure-git-webserver,1,1,1,always
constraints-scheduling,1,0,1,sometimes
count-dataset-tokens,0,0,0,never
crack-7z-hash,1,1,1,always
custom-memory-heap-crash,1,1,1,always
db-wal-recovery,0,0,0,never
distribution-search,1,1,1,always
dna-assembly,0,0,0,never
dna-insert,0,1,0,sometimes
extract-elf,0,0,1,sometimes
extract-moves-from-video,0,0,0,never
feal-differential-cryptanalysis,0,0,0,never
feal-linear-cryptanalysis,0,0,0,never
filter-js-from-html,0,0,0,never
financial-document-processor,0,0,0,never
fix-code-vulnerability,1,1,1,always
fix-git,1,1,1,always
fix-ocaml-gc,1,0,1,sometimes
gcode-to-text,0,0,0,never
git-leak-recovery,1,1,1,always
git-multibranch,1,0,1,sometimes
gpt2-codegolf,0,0,0,never
headless-terminal,0,0,0,never
install-windows-3.11,0,0,0,never
kv-store-grpc,0,0,0,never
large-scale-text-editing,0,1,0,sometimes
largest-eigenval,0,0,1,sometimes
llm-inference-batching-scheduler,0,0,1,sometimes
log-summary-date-ranges,1,0,1,sometimes
mailman,1,1,1,always
make-doom-for-mips,0,0,0,never
make-mips-interpreter,0,0,0,never
mcmc-sampling-stan,1,0,1,sometimes
merge-diff-arc-agi-task,0,1,1,sometimes
model-extraction-relu-logits,0,0,0,never
modernize-scientific-stack,1,1,1,always
multi-source-data-merger,1,1,1,always
nginx-request-logging,0,0,0,never
openssl-selfsigned-cert,1,1,1,always
overfull-hbox,0,0,0,never
password-recovery,1,1,1,always
path-tracing,0,0,0,never
path-tracing-reverse,0,0,0,never
polyglot-c-py,0,0,0,never
polyglot-rust-c,0,0,0,never
portfolio-optimization,0,1,1,sometimes
protein-assembly,0,0,0,never
prove-plus-comm,0,0,1,sometimes
pypi-server,1,1,1,always
pytorch-model-cli,0,0,0,never
pytorch-model-recovery,1,1,1,always
qemu-alpine-ssh,0,0,0,never
qemu-startup,1,1,1,always
query-optimize,0,0,0,never
raman-fitting,0,0,0,never
regex-chess,0,0,0,never
regex-log,0,0,1,sometimes
reshard-c4-data,0,0,0,never
rstan-to-pystan,0,0,0,never
sam-cell-seg,0,0,0,never
sanitize-git-repo,0,0,0,never
schemelike-metacircular-eval,0,0,0,never
sparql-university,0,0,0,never
sqlite-db-truncate,1,1,1,always
sqlite-with-gcov,0,1,0,sometimes
torch-pipeline-parallelism,0,0,0,never
torch-tensor-parallelism,0,0,0,never
train-fasttext,0,0,0,never
tune-mjcf,0,0,0,never
video-processing,0,0,0,never
vulnerable-secret,1,1,0,sometimes
winning-avg-corewars,0,0,0,never
write-compressor,0,0,0,never
