task,run_1,run_2,run_3,label
adaptive-rejection-sampler,0,0,0,never
bn-fit-modify,1,1,1,always
break-filter-js-from-html,0,0,0,never
build-cython-ext,0,0,0,never
build-pmars,0,0,0,never
build-pov-ray,0,0,0,never
caffe-cifar-10,0,0,0,never
cancel-async-tasks,0,1,0,sometimes
chess-best-move,0,0,0,never
circuit-fibsqrt,0,0,0,never
cobol-modernization,0,0,0,never
code-from-image,0,0,1,sometimes
compile-compcert,0,0,0,never
configure-git-webserver,1,0,1,sometimes
constraints-scheduling,1,1,1,always
count-dataset-tokens,0,0,0,never
crack-7z-hash,1,0,1,sometimes
custom-memory-heap-crash,1,1,0,sometimes
db-wal-recovery,0,0,0,never
distribution-search,1,1,1,always
dna-assembly,0,0,0,never
dna-insert,0,0,0,never
extract-elf,0,0,0,never
extract-moves-from-video,0,0,0,never
feal-differential-cryptanalysis,0,0,0,never
feal-linear-cryptanalysis,0,0,0,never
filter-js-from-html,0,0,0,never
financial-document-processor,0,0,0,never
fix-code-vulnerability,1,1,0,sometimes
fix-git,1,1,1,always
fix-ocaml-gc,0,1,0,sometimes
gcode-to-text,0,0,0,never
git-leak-recovery,1,1,1,always
git-multibranch,1,0,0,sometimes
gpt2-codegolf,0,0,0,never
headless-terminal,0,0,0,never
install-windows-3.11,0,1,0,sometimes
kv-store-grpc,0,0,0,never
large-scale-text-editing,0,1,0,sometimes
largest-eigenval,1,1,1,always
llm-inference-batching-scheduler,1,0,0,sometimes
log-summary-date-ranges,1,1,1,always
mailman,0,0,0,never
make-doom-for-mips,0,0,0,never
make-mips-interpreter,0,0,0,never
mcmc-sampling-stan,0,0,0,never
merge-diff-arc-agi-task,0,0,1,sometimes
model-extraction-relu-logits,0,0,0,never
modernize-scientific-stack,1,1,1,always
multi-source-data-merger,1,1,1,always
nginx-request-logging,0,0,0,never
openssl-selfsigned-cert,1,1,1,always
overfull-hbox,0,0,0,never
password-recovery,0,0,1,sometimes
path-tracing,0,0,0,never
path-tracing-reverse,0,0,0,never
polyglot-c-py,0,0,0,never
polyglot-rust-c,0,0,0,never
portfolio-optimization,0,0,0,never
protein-assembly,0,0,0,never
prove-plus-comm,1,1,1,always
pypi-server,1,1,1,always
pytorch-model-cli,0,0,0,never
pytorch-model-recovery,1,1,1,always
qemu-alpine-ssh,0,0,0,never
qemu-startup,1,1,0,sometimes
query-optimize,1,0,1,sometimes
raman-fitting,0,0,0,never
regex-chess,0,0,0,never
regex-log,1,1,0,sometimes
reshard-c4-data,0,0,0,never
rstan-to-pystan,0,0,0,never
sam-cell-seg,0,0,0,never
sanitize-git-repo,0,1,0,sometimes
schemelike-metacircular-eval,0,0,0,never
sparql-university,0,0,0,never
sqlite-db-truncate,1,0,1,sometimes
sqlite-with-gcov,1,0,1,sometimes
torch-pipeline-parallelism,0,0,0,never
torch-tensor-parallelism,0,0,0,never
train-fasttext,0,0,0,never
tune-mjcf,0,0,0,never
video-processing,0,0,0,never
vulnerable-secret,1,1,1,always
winning-avg-corewars,0,0,0,never
write-compressor,0,0,0,never
