task,run_1,run_2,run_3,label
adaptive-rejection-sampler,1,0,0,sometimes
bn-fit-modify,1,0,0,sometimes
break-filter-js-from-html,0,0,0,never
build-cython-ext,0,0,0,never
build-pmars,0,0,0,never
build-pov-ray,0,0,0,never
caffe-cifar-10,0,0,0,never
cancel-async-tasks,0,0,1,sometimes
chess-best-move,0,0,0,never
circuit-fibsqrt,0,0,0,never
cobol-modernization,1,1,1,always
code-from-image,1,1,0,sometimes
compile-compcert,1,1,1,always
configure-git-webserver,1,1,1,always
constraints-scheduling,1,0,1,sometimes
count-dataset-tokens,0,0,0,never
crack-7z-hash,1,1,1,always
custom-memory-heap-crash,1,1,1,always
db-wal-recovery,0,0,0,never
distribution-search,1,1,1,always
dna-assembly,0,0,0,never
dna-insert,0,1,0,sometimes
extract-elf,0,0,1,sometimes
extract-moves-from-video,0,0,0,never
