task,run_1,run_2,run_3,label
adaptive-rejection-sampler,0,0,0,never
bn-fit-modify,1,1,1,always
break-filter-js-from-html,0,0,0,never
build-cython-ext,0,0,0,never
build-pmars,0,0,0,never
build-pov-ray,0,0,0,never
caffe-cifar-10,0,0,0,never
cancel-async-tasks,0,1,0,sometimes
chess-best-move,0,0,0,never
circuit-fibsqrt,0,0,0,never
cobol-modernization,0,0,0,never
code-from-image,0,0,1,sometimes
compile-compcert,0,0,0,never
configure-git-webserver,1,0,1,sometimes
constraints-scheduling,1,1,1,always
count-dataset-tokens,0,0,0,never
crack-7z-hash,1,0,1,sometimes
custom-memory-heap-crash,1,1,0,sometimes
db-wal-recovery,0,0,0,never
distribution-search,1,1,1,always
dna-assembly,0,0,0,never
dna-insert,0,0,0,never
extract-elf,0,0,0,never
extract-moves-from-video,0,0,0,never
