task,run_1,label
adaptive-rejection-sampler,0,never
bn-fit-modify,1,always
break-filter-js-from-html,1,always
build-cython-ext,0,never
build-pmars,0,never
build-pov-ray,0,never
caffe-cifar-10,0,never
cancel-async-tasks,0,never
chess-best-move,0,never
circuit-fibsqrt,0,never
cobol-modernization,1,always
code-from-image,0,never
compile-compcert,0,never
configure-git-webserver,1,always
constraints-scheduling,1,always
count-dataset-tokens,0,never
crack-7z-hash,1,always
custom-memory-heap-crash,0,never
db-wal-recovery,0,never
distribution-search,1,always
dna-assembly,0,never
dna-insert,0,never
extract-elf,1,always
extract-moves-from-video,0,never
