task,run_1,label
adaptive-rejection-sampler,0,never
bn-fit-modify,1,always
break-filter-js-from-html,1,always
build-cython-ext,0,never
build-pmars,0,never
build-pov-ray,0,never
caffe-cifar-10,0,never
cancel-async-tasks,0,never
chess-best-move,0,never
circuit-fibsqrt,0,never
cobol-modernization,1,always
code-from-image,0,never
compile-compcert,0,never
configure-git-webserver,1,always
constraints-scheduling,1,always
count-dataset-tokens,0,never
crack-7z-hash,1,always
custom-memory-heap-crash,0,never
db-wal-recovery,0,never
distribution-search,1,always
dna-assembly,0,never
dna-insert,0,never
extract-elf,1,always
extract-moves-from-video,0,never
feal-differential-cryptanalysis,0,never
feal-linear-cryptanalysis,0,never
filter-js-from-html,0,never
financial-document-processor,0,never
fix-code-vulnerability,1,always
fix-git,0,never
fix-ocaml-gc,1,always
gcode-to-text,0,never
git-leak-recovery,1,always
git-multibranch,1,always
gpt2-codegolf,0,never
headless-terminal,0,never
hf-model-inference,0,never
install-windows-3.11,1,always
kv-store-grpc,1,always
large-scale-text-editing,1,always
largest-eigenval,1,always
llm-inference-batching-scheduler,1,always
log-summary-date-ranges,0,never
mailman,1,always
